Module Information,Section 1,Section 2,Section 3,Section 4,Section 5,Section 6,Section 7,Section 8,Section 9
Statistical Modelling 1,Statistical Models,Point estimation,Asymptotic properties,Maximum Likelihood Estimation,Confidence Regions,Hypothesis Tests,Likelihood ratio tests,Linear models with second order assumptions,Linear models with normal theory assumptions
MATH50011,Statistical Model,Estimate,Consistent,Maximum likelihood estimator,Confidence interval,Hypothesis,Likelihood ratio test statistic,linear model,Multivariate normal distribution
2,Distribution// Distribution// Distribution,Estimator,Weakly consistent,Keywords (Prerequisite),One-sided confidence interval,Null hypothesis,Test statistic,linear regression,Univariate normal distribution
2,Sample Space,Parameter,Portmanteau Lemma,Skills (Taught),Pivotal quantity,Alternative Hypothesis,Independent restrictions,simple linear model,Characteristic function
9,Parameter space,Bias,Convergence in probability,Skills (Prerequisite),Sequence of intervals,Hypothesis test,Independent parameters,Outcome,Distributions from Multivariate 
,Parametric models,Unbiased,Convergence in distribution,,Asymptotic pivotal quantity,Rejection region,Degrees of freedom,response,Non-central t-distribution
,Unknown parameter,Biased,Asymptotically unbiased,,Bonferroni correction,Critical region,Keywords (Prerequisite),covariate,Degrees of freedom
,Point estimate,Standard error,Asymptotically normal,,Keywords (Prerequisite),Power function,Skills (Taught),Error,Non-centrality parameter
,Keywords (Prerequisite),Standard deviation,Central Limit Theorem,,Skills (Taught),p-value,Skills (Prerequisite),Invertible,Non-central
,Normal Distribution,Mean square error,Slutsky's Lemma,,Skills (Prerequisite),level test,,Non-singular,Fisher-Cochran Theorem
,Sample mean,Cramer-Rao,Delta Method,,,Two-sided test,,Rank-nullity Theorem,Keywords (Prerequisite)
,Sample median,Ramer Lower bound,Continuous Mapping Theorem,,,Keywords (Prerequisite),,Symmetric Matrix,Skills (Taught)
,Binomial Distribution,Fisher,Keywords (Prerequisite),,,Skills (Taught),,Orthogonal Matrix,Skills (Prerequisite)
,Random sample,Fisher information,Skills (Taught),,,Skills (Prerequisite),,Diagonal,
,Skills (Taught),Keywords (Prerequisite),Skills (Prerequisite),,,,,Positive definite,
,Skills (Prerequisite),Skills (Taught),,,,,,Random vectors,
,,Skills (Prerequisite),,,,,,Random vectors,
,,,,,,,,design matrix,
,,,,,,,,unknown parameter,
,,,,,,,,Second order Assumption,
,,,,,,,,Normal theory assumption,
,,,,,,,,full rank,
,,,,,,,,Identifiable,
,,,,,,,,Identifiable parameter,
,,,,,,,,Least squares,
,,,,,,,,Least squares estimator,
,,,,,,,,Gauss Markov Theorem,
,,,,,,,,Vector of fitted values,
,,,,,,,,Vector of residuals,
,,,,,,,,Hat matrix,
,,,,,,,,Diagnostic plots,
,,,,,,,,Residual sum of squares,
,,,,,,,,Coefficient of determination,
,,,,,,,,Intercept term,
,,,,,,,,Keywords (Prerequisite),
,,,,,,,,Skills (Taught),
,,,,,,,,Skills (Prerequisite),
